"Rank #3 (Only Reaseach Paper based formula)                                                                                                                                                                                                         The only formula used for sentence scoring is                                                                                                                                                                                               Wnew = Wold + (sd * (1.5*L + 0.2*d + 0.3*e)) / length(Sentence), where                                                                                                                                                 Wnew : New sentence score Wold : Old sentence score                                                                                                                                                                                      sd : standard deviantion of sentence scores                                                                                                                                                                                                            L : Number of legal terms in the sentence                                                                                                                                                                                                                      d : Total count of numeric digits (like year, case number, act, sec, rule etc)                                                                                                                                                      e : number of entities present in the sentences                                                                                                                                                                                                 Note:We haven't given higher tfidf score for the legal terms.All terms tfidf score are given based on their occurence in the document only.        Number of Documents on which scores is calcuated :7090 Documents",,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
File Name,Rouge-1 F,Rouge-1 P,Rouge-1 R,Rouge-2 F,Rouge-2 P,Rouge-2 R,Rouge-L F,Rouge-L P,Rouge-L R
,,,,,,,,,
1953_24.txt,0.21328671,0.139588101,0.451851852,0.044964026,0.027654867,0.120192308,0.136355978,0.128146453,0.414814815
,,,,,,,,,
1953_28.txt,0.319488813,0.297619048,0.344827586,0.056768554,0.052,0.0625,0.240231099,0.226190476,0.262068966
,,,,,,,,,
1957_52.txt,0.264984222,0.25,0.281879195,0.085981303,0.089147287,0.083032491,0.238043446,0.226190476,0.255033557
,,,,,,,,,
1958_3.txt,0.138939669,0.077393075,0.678571429,0.046277665,0.025027203,0.306666667,0.067983185,0.067209776,0.589285714
,,,,,,,,,
1959_151.txt,0.266968321,0.282296651,0.253218884,0.048602668,0.051413882,0.046082949,0.206928193,0.220095694,0.197424893
,,,,,,,,,
1961_34.txt,0.175609752,0.116883117,0.352941176,0.068728519,0.043668122,0.161290323,0.125156311,0.116883117,0.352941176
,,,,,,,,,
1962_303.txt,0.250474379,0.191860465,0.360655738,0.051493301,0.038461538,0.07788162,0.188014276,0.168604651,0.316939891
,,,,,,,,,
1963_170.txt,0.249999996,0.170940171,0.465116279,0.093283579,0.059808612,0.211864407,0.157125012,0.145299145,0.395348837
,,,,,,,,,
1964_144.txt,0.378881983,0.409395973,0.352601156,0.190990986,0.216326531,0.170967742,0.344024853,0.375838926,0.323699422
,,,,,,,,,
1965_111.txt,0.280701749,0.28742515,0.274285714,0.063604235,0.066914498,0.060606061,0.239504123,0.245508982,0.234285714
,,,,,,,,,
1966_154.txt,0.137254898,0.095890411,0.24137931,0.054982814,0.037735849,0.101265823,0.104473568,0.095890411,0.24137931
,,,,,,,,,
1966_236.txt,0.272151894,0.260606061,0.284768212,0.060606056,0.054545455,0.068181818,0.233263298,0.224242424,0.245033113
,,,,,,,,,
1967_267.txt,0.373464368,0.37254902,0.374384236,0.205555551,0.209039548,0.202185792,0.348890137,0.348039216,0.349753695
,,,,,,,,,
1968_197.txt,0.270142176,0.201413428,0.410071942,0.083897154,0.060077519,0.139013453,0.180383219,0.16254417,0.330935252
,,,,,,,,,
